date,Inflation Rate%,Annual Change,Output Billions of US $,% of GDP Growth Rate
31-12-1960,1.7799,,5.461951599,14.7501
31-12-1961,1.6952,-0.08,6.023684039,15.3538
31-12-1962,3.6322,1.94,6.688201564,15.8633
31-12-1963,2.9462,-0.69,7.627609431,15.7524
31-12-1964,13.3553,10.41,8.387740989,14.8507
31-12-1965,9.4748,-3.88,8.939724291,15.0109
31-12-1966,10.8018,1.33,6.652323388,14.504
31-12-1967,13.0622,2.26,6.633785992,13.2319
31-12-1968,3.2374,-9.82,7.178633664,13.5228
31-12-1969,-0.5841,-3.82,8.268329006,14.1465
31-12-1970,5.0923,5.68,9.024134411,14.4565
31-12-1971,3.0799,-2.01,10.09071815,14.9823
31-12-1972,6.4421,3.36,10.79276413,15.1025
31-12-1973,16.9408,10.5,12.84036171,15.0153
31-12-1974,28.5987,11.66,16.26841726,16.3459
31-12-1975,5.7484,-22.85,15.59660073,15.8385
31-12-1976,-7.6339,-13.38,16.70785978,16.2659
31-12-1977,8.3075,15.94,19.53621709,16.0809
31-12-1978,2.523,-5.78,23.47346332,17.0964
31-12-1979,6.2757,3.75,27.3121228,17.852
31-12-1980,11.3461,5.07,31.21392202,16.7524
31-12-1981,13.1125,1.77,32.44923392,16.7704
31-12-1982,7.8907,-5.22,32.85706114,16.37
31-12-1983,11.8681,3.98,36.37221766,16.6645
31-12-1984,8.3189,-3.55,35.44698109,16.7078
31-12-1985,5.5564,-2.76,38.17383001,16.418
31-12-1986,8.7297,3.17,40.3894717,16.2216
31-12-1987,8.8011,0.07,45.23008653,16.2095
31-12-1988,9.3835,0.58,47.75538036,16.1015
31-12-1989,7.0743,-2.31,50.03958305,16.9028
31-12-1990,8.9712,1.9,53.27480347,16.5976
31-12-1991,13.8702,4.9,42.3424161,15.6763
31-12-1992,11.7878,-2.08,45.53923714,15.8008
31-12-1993,6.3269,-5.46,44.45195095,15.9157
31-12-1994,10.2479,3.92,54.86493089,16.7641
31-12-1995,10.2249,-0.02,64.3674354,17.8659
31-12-1996,8.9772,-1.25,69.13550468,17.5963
31-12-1997,7.1643,-1.81,68.6954415,16.5186
31-12-1998,13.2308,6.07,66.23357029,15.7193
31-12-1999,4.6698,-8.56,69.6514019,15.1805
31-12-2000,4.0094,-0.66,74.60136947,15.927
31-12-2001,3.7793,-0.23,74.30655941,15.307
31-12-2002,4.2972,0.52,80.11765954,15.5587
31-12-2003,3.8059,-0.49,94.72443728,15.5874
31-12-2004,3.7673,-0.04,112.2386781,15.8272
31-12-2005,4.2463,0.48,131.0396921,15.973
31-12-2006,5.7965,1.55,162.6993116,17.3037
31-12-2007,6.3729,0.58,205.1971732,16.8646
31-12-2008,8.3493,1.98,204.995249,17.0987
31-12-2009,10.8824,2.53,230.047372,17.1436
31-12-2010,11.9894,1.11,285.3561899,17.0299
31-12-2011,8.8584,-3.13,294.2282691,16.1393
31-12-2012,9.3124,0.45,289.076073,15.8169
31-12-2013,10.9076,1.6,283.2062465,15.253
31-12-2014,6.3532,-4.55,307.2061751,15.0656
31-12-2015,5.8724,-0.48,327.820066,15.5839
31-12-2016,4.941,-0.93,347.9427115,15.1622
31-12-2017,2.4909,-2.45,395.0991504,14.8939
31-12-2018,4.8607,2.37,395.6882473,14.584
31-12-2019,7.6597,2.8,391.4956599,13.6461
31-12-2020,4.59,3.07,469.1597365,17.4